sku,name,size,price,product_url,image_url
216029750-1,Double Black Cabernet Sauvignon Paso Robles ,750ml,,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/double-black-cabernet-sauvignon-paso-robles/p/216029750?s=304&igrules=true,"https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h34/he8/15381521924126.png"
231443750-1,Olema Sauvignon Blanc Loire,750ml,,https://www.totalwine.com/wine/white-wine/sauvignon-blanc/olema-sauvignon-blanc-loire/p/231443750?s=304&igrules=true,"https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h6f/hbe/13580240158750.png"
347421750-1,Caliveda Pinot Noir ,750ml,,https://www.totalwine.com/wine/red-wine/pinot-noir/caliveda-pinot-noir/p/347421750?s=304&igrules=true,"https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/hd7/hfa/16823301865502.png"
130007750-1,Mascota Vineyards Unanime,750ml,,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/mascota-vineyards-unanime/p/130007750?s=304&igrules=true,"https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h34/h01/15949503528990.png"
95164750-1,D'Autrefois Pinot Noir ,750ml,,https://www.totalwine.com/wine/red-wine/pinot-noir/dautrefois-pinot-noir/p/95164750?s=304&igrules=true,"https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/hd3/hb5/15595513708574.png"
164293750-1,Iter Chardonnay California ,750ml,,https://www.totalwine.com/wine/white-wine/chardonnay/iter-chardonnay-california/p/164293750?s=304&igrules=true,"https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h71/h54/15078179242014.png"
113712750-1,Renieri Rosso di Montalcino ,750ml,,https://www.totalwine.com/wine/red-wine/sangiovese/renieri-rosso-di-montalcino/p/113712750?s=304&igrules=true,"https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h1e/ha4/17160733261854.png"
94390750-1,Muirwood Chardonnay Arroyo Seco ,750ml,,https://www.totalwine.com/wine/white-wine/chardonnay/muirwood-chardonnay-arroyo-seco/p/94390750?s=304&igrules=true,"https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h07/h4a/13433387679774.png"
18266750-1,Guy Mousset Cotes du Rhone Reserve,750ml,,https://www.totalwine.com/wine/red-wine/rhone-blend/guy-mousset-cotes-du-rhone-reserve/p/18266750?s=304&igrules=true,"https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/hb9/h1c/17160720547870.png"
109682750-1,Radius Cabernet ,750ml,,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/radius-cabernet/p/109682750?s=304&igrules=true,"https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/hdc/he8/13287125221406.png"
161939750-1,Crimson Ranch Chardonnay ,750ml,,https://www.totalwine.com/wine/white-wine/chardonnay/crimson-ranch-chardonnay/p/161939750?s=304&igrules=true,"https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/he0/he0/17160728608798.png"
213639750-1,Ed Edmundo Cabernet Sauvignon,750ml,,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/ed-edmundo-cabernet-sauvignon/p/213639750?s=304&igrules=true,"https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h32/h15/13287127941150.png"
213641750-1,Eccentric Cabernet Sauvignon,750ml,,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/eccentric-cabernet-sauvignon/p/213641750?s=304&igrules=true,"https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/hcd/h78/13545230925854.png"
213696750-1,Carmen Gran Reserva Cabernet Sauvignon,750ml,,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/carmen-gran-reserva-cabernet-sauvignon/p/213696750?s=304&igrules=true,"https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h3d/h20/17193376514078.png"
60170750-1,Rondel Brut Cava ,750ml,,https://www.totalwine.com/wine/champagne-sparkling-wine/cava/brut/rondel-brut-cava/p/60170750?s=304&igrules=true,"https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/hb7/hda/16102146310174.png"
242303750-1,Chateau de la Chapelle Blaye Cotes de Bordeaux,750ml,,https://www.totalwine.com/wine/red-wine/bordeaux-blend/chateau-de-la-chapelle-blaye-cotes-de-bordeaux/p/242303750?s=304&igrules=true,"https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/hef/hc5/15213372014622.png"
237134750-1,King Maui Marlborough Sauvignon Blanc ,750ml,,https://www.totalwine.com/wine/white-wine/sauvignon-blanc/king-maui-marlborough-sauvignon-blanc/p/237134750?s=304&igrules=true,"https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h31/h03/15197830774814.png"
109285750-1,Lloyd Chardonnay Carneros ,750ml,$49.99,https://www.totalwine.com/wine/white-wine/chardonnay/lloyd-chardonnay-carneros/p/109285750?s=304&igrules=true,"https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h0f/h92/8812344213534.png"
94711750-1,Ropiteau Pinot Noir ,750ml,,https://www.totalwine.com/wine/red-wine/pinot-noir/ropiteau-pinot-noir/p/94711750?s=304&igrules=true,"https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/hed/h52/16323027107870.png"
224025750-1,Hall Ranch Cabernet Sauvignon Paso Robles,750ml,,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/hall-ranch-cabernet-sauvignon-paso-robles/p/224025750?s=304&igrules=true,"https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h78/h3a/17160719433758.png"
